name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
gcc,/Applications/Xcode.app/Contents/Developer/usr/bin,,e333531cebbdc1e3b297c7c55f131ffe926ae2484a3bafc77c3583d69e0969f8,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
agvtool,/Applications/Xcode.app/Contents/Developer/usr/bin, /bin/sh,d59524b274a3885725659c2dfff074190a0d40a3a946a0e7ff61b2afebcfe1d8,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,,,,,,
copypng,/Applications/Xcode.app/Contents/Developer/usr/bin,/usr/bin/perl,e1964439c726b979b4a36f4a537751dbeb1191004ce243e31e4f157a25514e00,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,,,,,,
svnlook,/Applications/Xcode.app/Contents/Developer/usr/bin,,1e8b1fa1057a0c0f6490741644f5ee1396755acafaac3d8ccddaefd5f83dd651,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
heap32,/Applications/Xcode.app/Contents/Developer/usr/bin,,f7d28ef459fff6c70af6f36082879db271eb8dbad215e9738efc260897cd0be3,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
xed,/Applications/Xcode.app/Contents/Developer/usr/bin,,354bd05fc777389a8744c46f7e98f5e17bc9da22f6d209354ae7deb7ae4e86bb,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
scntool,/Applications/Xcode.app/Contents/Developer/usr/bin,,99c5a7d647dc402d1c0b068e64a92222878667e10c780877aaad13bff6c35743,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
stringdups32,/Applications/Xcode.app/Contents/Developer/usr/bin,,0f3a182de28ae6300b961dab4a64845445e2b155db7d9781c6bb3422b657acd2,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
SplitForks,/Applications/Xcode.app/Contents/Developer/usr/bin,,44bda33760a39c8b31bb6524b0975271147cd6300b2f588d7ef0719cfa75d91c,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
leaks32,/Applications/Xcode.app/Contents/Developer/usr/bin,,7d7c826d536ae6e944a6de47b070082d807ea749ce2d0aa16816438713df781a,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
